#--------------------------------------------------------------------------
# Transmittance and reflectance of a multilayered film at 
# 0.3 - 1.0 um wavelength range computed by the transfer matrix method. 
#
# The multilayered film consist of:  
#   50 nm   silver
#   500 nm  dielectric (N = 1.5)
#   200 nm  silver
#
# F. Ramirez 2022
#--------------------------------------------------------------------------
# column 1: wavelength (um)
# column 2: Reflectance
# column 3: Transmittance
#
0.678378 0.990329 0.000000
0.679279 0.990359 0.000000
0.680180 0.990390 0.000000
0.681081 0.990420 0.000000
0.681982 0.990451 0.000000
0.682883 0.990482 0.000000
0.683784 0.990513 0.000000
0.684685 0.990544 0.000000
0.685586 0.990574 0.000000
0.686486 0.990605 0.000000
0.687387 0.990634 0.000000
0.688288 0.990664 0.000000
0.689189 0.990694 0.000000
0.690090 0.990723 0.000000
0.690991 0.990756 0.000000
0.691892 0.990790 0.000000
0.692793 0.990824 0.000000
0.693694 0.990858 0.000000
0.694595 0.990891 0.000000
0.695495 0.990925 0.000000
0.696396 0.990957 0.000000
0.697297 0.990990 0.000000
0.698198 0.991023 0.000000
0.699099 0.991055 0.000000
0.700000 0.991086 0.000000
0.700901 0.991118 0.000000
0.701802 0.991149 0.000000
0.702703 0.991180 0.000000
0.703604 0.991211 0.000000
0.704505 0.991242 0.000000
0.705405 0.991272 0.000000
0.706306 0.991302 0.000000
0.707207 0.991332 0.000000
0.708108 0.991362 0.000000
0.709009 0.991392 0.000000
0.709910 0.991421 0.000000
0.710811 0.991451 0.000000
0.711712 0.991480 0.000000
0.712613 0.991509 0.000000
0.713514 0.991537 0.000000
0.714414 0.991566 0.000000
0.715315 0.991594 0.000000
0.716216 0.991623 0.000000
0.717117 0.991651 0.000000
0.718018 0.991679 0.000000
0.718919 0.991707 0.000000
0.719820 0.991734 0.000000
0.720721 0.991762 0.000000
0.721622 0.991789 0.000000
0.722523 0.991817 0.000000
0.723423 0.991844 0.000000
0.724324 0.991871 0.000000
0.725225 0.991898 0.000000
0.726126 0.991925 0.000000
0.727027 0.991952 0.000000
0.727928 0.991981 0.000000
0.728829 0.992009 0.000000
0.729730 0.992038 0.000000
0.730631 0.992066 0.000000
0.731532 0.992095 0.000000
0.732432 0.992123 0.000000
0.733333 0.992151 0.000000
0.734234 0.992179 0.000000
0.735135 0.992207 0.000000
0.736036 0.992235 0.000000
0.736937 0.992263 0.000000
0.737838 0.992291 0.000000
0.738739 0.992320 0.000000
0.739640 0.992348 0.000000
0.740541 0.992376 0.000000
0.741441 0.992404 0.000000
0.742342 0.992432 0.000000
0.743243 0.992460 0.000000
0.744144 0.992488 0.000000
0.745045 0.992516 0.000000
0.745946 0.992543 0.000000
0.746847 0.992571 0.000000
0.747748 0.992599 0.000000
0.748649 0.992627 0.000000
0.749550 0.992654 0.000000
0.750450 0.992682 0.000000
0.751351 0.992710 0.000000
0.752252 0.992737 0.000000
0.753153 0.992765 0.000000
0.754054 0.992793 0.000000
0.754955 0.992821 0.000000
0.755856 0.992848 0.000000
0.756757 0.992876 0.000000
0.757658 0.992904 0.000000
0.758559 0.992932 0.000000
0.759459 0.992960 0.000000
